Gene,Name,Description,Sauce
TF,transferrin,"This gene encodes a glycoprotein with an approximate molecular weight of 76.5 kDa. It is thought to have been created as a result of an ancient gene duplication event that led to generation of homologous C and N-terminal domains each of which binds one ion of ferric iron. The function of this protein is to transport iron from the intestine, reticuloendothelial system, and liver parenchymal cells to all proliferating cells in the body. This protein may also have a physiologic role as granulocyte/pollen-binding protein (GPBP) involved in the removal of certain organic matter and allergens from serum. [provided by RefSeq, Sep 2009] Restricted expression toward liver",https://www.ncbi.nlm.nih.gov/gene/7018
 SYNE2,spectrin repeat containing nuclear envelope protein 2,"The protein encoded by this gene is a nuclear outer membrane protein that binds cytoplasmic F-actin. This binding tethers the nucleus to the cytoskeleton and aids in the maintenance of the structural integrity of the nucleus. Several transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Mar 2009] Ubiquitous expression in skin (RPKM 13.7), kidney (RPKM 12.6) and 25 other tissues",https://www.ncbi.nlm.nih.gov/gene/23224
 DIO2, iodothyronine deiodinase 2,"The protein encoded by this gene belongs to the iodothyronine deiodinase family. It catalyzes the conversion of prohormone thyroxine (3,5,3',5'-tetraiodothyronine, T4) to the bioactive thyroid hormone (3,5,3'-triiodothyronine, T3) by outer ring 5'-deiodination. This gene is widely expressed, including in thyroid and brain. It is thought to be responsible for the 'local' production of T3, and thus important in influencing thyroid hormone action in these tissues. It has also been reported to be highly expressed in thyroids of patients with Graves disease, and in follicular adenomas. The intrathyroidal T4 to T3 conversion by this enzyme may contribute significantly to the relative increase in thyroidal T3 production in these patients. This protein is a selenoprotein containing the non-standard amino acid, selenocysteine (Sec), which is encoded by the UGA codon that normally signals translation termination. The 3' UTRs of selenoprotein mRNAs contain a conserved stem-loop structure, designated the Sec insertion sequence (SECIS) element, that is necessary for the recognition of UGA as a Sec codon, rather than as a stop signal. Unlike the other two members (DIO1 and DIO3) of this enzyme family, the mRNA for this gene contains an additional in-frame UGA codon that has been reported (in human) to function either as a Sec or a stop codon, which can result in two isoforms with one or two Sec residues; however, only the upstream Sec (conserved with the single Sec residue found at the active site in DIO1 and DIO3) was shown to be essential for enzyme activity (PMID:10403186). Alternatively spliced transcript variants have been described for this gene. [provided by RefSeq, Oct 2018]",https://www.ncbi.nlm.nih.gov/gene/1734
 LHFPL3,LHFPL tetraspan subfamily member 3,"This gene is a member of the lipoma HMGIC fusion partner (LHFP) gene family, which is a subset of the superfamily of tetraspan transmembrane protein encoding genes. Mutations in one LHFP-like gene result in deafness in humans and mice, and a second LHFP-like gene is fused to a high-mobility group gene in a translocation-associated lipoma. A partial gene fragment named LHFPL4 corresponds to a portion of the first exon of this gene. [provided by RefSeq, Jul 2008] Biased expression in brain (RPKM 18.4) and lung (RPKM 1.0)",https://www.ncbi.nlm.nih.gov/gene/375612
" C1orf192, (AKA CFAP126)",cilia and flagella associated protein 126,"Predicted to be involved in cilium organization. Predicted to be located in apical plasma membrane and cilium. Predicted to be active in ciliary basal body. [provided by Alliance of Genome Resources, Apr 2022] Ubiquitous expression in liver (RPKM 108.4), fat (RPKM 105.1) and 25 other tissues",https://www.ncbi.nlm.nih.gov/gene/257177
 EDNRB,endothelin receptor type B,"The protein encoded by this gene is a G protein-coupled receptor which activates a phosphatidylinositol-calcium second messenger system. Its ligand, endothelin, consists of a family of three potent vasoactive peptides: ET1, ET2, and ET3. Studies suggest that the multigenic disorder, Hirschsprung disease type 2, is due to mutations in the endothelin receptor type B gene. Alternative splicing and the use of alternative promoters results in multiple transcript variants. [provided by RefSeq, Oct 2016] Broad expression in placenta (RPKM 49.8), lung (RPKM 38.6) and 21 other tissues",https://www.ncbi.nlm.nih.gov/gene/1910
 SLC25A18,solute carrier family 25 member 18,"Predicted to enable L-aspartate transmembrane transporter activity and L-glutamate transmembrane transporter activity. Predicted to be involved in L-glutamate transmembrane transport; aspartate transmembrane transport; and malate-aspartate shuttle. Predicted to be located in mitochondrial inner membrane. [provided by Alliance of Genome Resources, Apr 2022] Biased expression in brain (RPKM 15.7), liver (RPKM 8.1) and 2 other tissues",https://www.ncbi.nlm.nih.gov/gene/83733
SNORD115,"small nucleolar RNA, C/D box 115","This gene encodes a small nucleolar RNA (snoRNA) that is found clustered with dozens of other similar snoRNAs on chromosome 15. These genes are found mostly within introns of the IC-SNURF-SNRPN transcript, which is paternally imprinted and from the Prader-Willi/Angelman syndrome (PWS) region",https://www.ncbi.nlm.nih.gov/gene/338433
 GPR183,G protein-coupled receptor 183,"This gene was identified by the up-regulation of its expression upon Epstein-Barr virus infection of primary B lymphocytes. This gene is predicted to encode a G protein-coupled receptor that is most closely related to the thrombin receptor. Expression of this gene was detected in B-lymphocyte cell lines and lymphoid tissues but not in T-lymphocyte cell lines or peripheral blood T lymphocytes. The function of this gene is unknown. [provided by RefSeq, Jul 2008] Broad expression in appendix (RPKM 44.7), bone marrow (RPKM 34.8) and 17 other tissues",https://www.ncbi.nlm.nih.gov/gene/1880
 CAMK2A,calcium/calmodulin dependent protein kinase II alpha,"The product of this gene belongs to the serine/threonine protein kinases family, and to the Ca(2+)/calmodulin-dependent protein kinases subfamily. Calcium signaling is crucial for several aspects of plasticity at glutamatergic synapses. This calcium calmodulin-dependent protein kinase is composed of four different chains: alpha, beta, gamma, and delta. The alpha chain encoded by this gene is required for hippocampal long-term potentiation (LTP) and spatial learning. In addition to its calcium-calmodulin (CaM)-dependent activity, this protein can undergo autophosphorylation, resulting in CaM-independent activity. Several transcript variants encoding distinct isoforms have been identified for this gene. [provided by RefSeq, Jun 2018] Restricted expression toward brain (RPKM 112.2)",https://www.ncbi.nlm.nih.gov/gene/815
 TTTY15," testis-specific transcript, Y-linked 15","Very little known. Broad expression in prostate (RPKM 2.0), testis (RPKM 1.6) and 19 other tissues",https://www.ncbi.nlm.nih.gov/gene/64595
 SEMA5A,semaphorin 5A,"This gene belongs to the semaphorin gene family that encodes membrane proteins containing a semaphorin domain and several thrombospondin type-1 repeats. Members of this family are involved in axonal guidance during neural development. This gene has been implicated as an autism susceptibility gene.[provided by RefSeq, Jan 2010] Broad expression in lung (RPKM 6.9), kidney (RPKM 6.5) and 24 other tissues",https://www.ncbi.nlm.nih.gov/gene/9037
 BMPR1B,bone morphogenetic protein receptor type 1B,"This gene encodes a member of the bone morphogenetic protein (BMP) receptor family of transmembrane serine/threonine kinases. The ligands of this receptor are BMPs, which are members of the TGF-beta superfamily. BMPs are involved in endochondral bone formation and embryogenesis. These proteins transduce their signals through the formation of heteromeric complexes of 2 different types of serine (threonine) kinase receptors: type I receptors of about 50-55 kD and type II receptors of about 70-80 kD. Type II receptors bind ligands in the absence of type I receptors, but they require their respective type I receptors for signaling, whereas type I receptors require their respective type II receptors for ligand binding. Mutations in this gene have been associated with primary pulmonary hypertension. Several transcript variants encoding two different isoforms have been found for this gene. [provided by RefSeq, Feb 2012] Biased expression in prostate (RPKM 14.5), brain (RPKM 5.7) and 7 other tissues",https://www.ncbi.nlm.nih.gov/gene/658
 ENPP2,ectonucleotide pyrophosphatase/phosphodiesterase 2,"The protein encoded by this gene functions as both a phosphodiesterase, which cleaves phosphodiester bonds at the 5' end of oligonucleotides, and a phospholipase, which catalyzes production of lysophosphatidic acid (LPA) in extracellular fluids. LPA evokes growth factor-like responses including stimulation of cell proliferation and chemotaxis. This gene product stimulates the motility of tumor cells and has angiogenic properties, and its expression is upregulated in several kinds of carcinomas. The gene product is secreted and further processed to make the biologically active form. Several alternatively spliced transcript variants encoding different isoforms have been identified. [provided by RefSeq, Aug 2008] Broad expression in placenta (RPKM 83.1), brain (RPKM 52.1) and 18 other tissues",https://www.ncbi.nlm.nih.gov/gene/5168
 MGST1,microsomal glutathione S-transferase 1,"The MAPEG (Membrane Associated Proteins in Eicosanoid and Glutathione metabolism) family consists of six human proteins, two of which are involved in the production of leukotrienes and prostaglandin E, important mediators of inflammation. Other family members, demonstrating glutathione S-transferase and peroxidase activities, are involved in cellular defense against toxic, carcinogenic, and pharmacologically active electrophilic compounds. This gene encodes a protein that catalyzes the conjugation of glutathione to electrophiles and the reduction of lipid hydroperoxides. This protein is localized to the endoplasmic reticulum and outer mitochondrial membrane where it is thought to protect these membranes from oxidative stress. Several transcript variants, some non-protein coding and some protein coding, have been found for this gene. [provided by RefSeq, May 2012] Biased expression in fat (RPKM 182.4), liver (RPKM 177.8) and 13 other tissues",https://www.ncbi.nlm.nih.gov/gene/4257
 ANXA1,annexin A1,"This gene encodes a membrane-localized protein that binds phospholipids. This protein inhibits phospholipase A2 and has anti-inflammatory activity. Loss of function or expression of this gene has been detected in multiple tumors. [provided by RefSeq, Dec 2014] Biased expression in esophagus (RPKM 2850.3), bone marrow (RPKM 574.5) and 4 other tissues",https://www.ncbi.nlm.nih.gov/gene/301
 GNG11,G protein subunit gamma 11,"This gene is a member of the guanine nucleotide-binding protein (G protein) gamma family and encodes a lipid-anchored, cell membrane protein. As a member of the heterotrimeric G protein complex, this protein plays a role in this transmembrane signaling system. This protein is also subject to carboxyl-terminal processing. Decreased expression of this gene is associated with splenic marginal zone lymphomas. [provided by RefSeq, Jul 2008] Broad expression in fat (RPKM 168.6), placenta (RPKM 159.2) and 18 other tissues",https://www.ncbi.nlm.nih.gov/gene/2791
 IGFBPL1, insulin like growth factor binding protein like 1,"Predicted to enable insulin-like growth factor binding activity. Involved in cellular response to tumor cell. Located in extracellular space. [provided by Alliance of Genome Resources, Apr 2022] Biased expression in thyroid (RPKM 9.9), brain (RPKM 1.8) and 3 other tissues  ",https://www.ncbi.nlm.nih.gov/gene/347252
 SATB2,SATB homeobox 2,"This gene encodes a DNA binding protein that specifically binds nuclear matrix attachment regions. The encoded protein is involved in transcription regulation and chromatin remodeling. Defects in this gene are associated with isolated cleft palate and cognitive disability. Alternate splicing results in multiple transcript variants that encode the same protein. [provided by RefSeq, Feb 2010] Biased expression in colon (RPKM 13.7), brain (RPKM 6.3) and 7 other tissues",https://www.ncbi.nlm.nih.gov/gene/23314
TFAP2C,transcription factor AP-2 gamma,"The protein encoded by this gene is a sequence-specific DNA-binding transcription factor involved in the activation of several developmental genes. The encoded protein can act as either a homodimer or heterodimer with other family members and is induced during retinoic acid-mediated differentiation. It plays a role in the development of the eyes, face, body wall, limbs, and neural tube. [provided by RefSeq, Jul 2008] Biased expression in skin (RPKM 24.1), placenta (RPKM 10.9) and 6 other tissues",https://www.ncbi.nlm.nih.gov/gene/7022
 GABRB2,gamma-aminobutyric acid type A receptor subunit beta2,"The gamma-aminobutyric acid (GABA) A receptor is a multisubunit chloride channel that mediates the fastest inhibitory synaptic transmission in the central nervous system. This gene encodes GABA A receptor, beta 2 subunit. It is mapped to chromosome 5q34 in a cluster comprised of genes encoding alpha 1 and gamma 2 subunits of the GABA A receptor. Alternative splicing of this gene generates 2 transcript variants, differing by a 114 bp insertion. [provided by RefSeq, Jul 2008]",https://www.ncbi.nlm.nih.gov/gene/2561
KCNT2,potassium sodium-activated channel subfamily T member 2,"Enables chloride-activated potassium channel activity. Involved in potassium ion export across plasma membrane. Located in plasma membrane. Implicated in developmental and epileptic encephalopathy 57. [provided by Alliance of Genome Resources, Apr 2022] Broad expression in ovary (RPKM 1.6), lung (RPKM 0.9) and 22 other tissues",https://www.ncbi.nlm.nih.gov/gene/343450
 SLC2A13,solute carrier family 2 member 13,"Enables ATPase binding activity; myo-inositol:proton symporter activity; and protease binding activity. Involved in myo-inositol transport and positive regulation of amyloid-beta formation. Is integral component of plasma membrane. Part of cell body; cell periphery; and cell projection. [provided by Alliance of Genome Resources, Apr 2022] Broad expression in brain (RPKM 11.8), kidney (RPKM 3.4) and 21 other tissues",https://www.ncbi.nlm.nih.gov/gene/114134
 ETNPPL,ethanolamine-phosphate phospho-lyase,"Enables ethanolamine-phosphate phospho-lyase activity. Predicted to be located in mitochondrial matrix. [provided by Alliance of Genome Resources, Apr 2022] Biased expression in liver (RPKM 37.5), brain (RPKM 36.7) and 3 other tissues ",https://www.ncbi.nlm.nih.gov/gene/64850
 BCL11A, BCL11 transcription factor A,"This gene encodes a C2H2 type zinc-finger protein by its similarity to the mouse Bcl11a/Evi9 protein. The corresponding mouse gene is a common site of retroviral integration in myeloid leukemia, and may function as a leukemia disease gene, in part, through its interaction with BCL6. During hematopoietic cell differentiation, this gene is down-regulated. It is possibly involved in lymphoma pathogenesis since translocations associated with B-cell malignancies also deregulates its expression. Multiple transcript variants encoding several different isoforms have been found for this gene. [provided by RefSeq, Jul 2008] Broad expression in skin (RPKM 2.8), lymph node (RPKM 2.2) and 17 other tissues",https://www.ncbi.nlm.nih.gov/gene/53335
 LAMB4, laminin subunit beta 4,"Predicted to be an extracellular matrix structural constituent. Predicted to be involved in several processes, including basement membrane assembly; cell migration; and substrate adhesion-dependent cell spreading. Predicted to be located in basement membrane; extracellular region; and membrane. Predicted to be part of laminin complex. [provided by Alliance of Genome Resources, Apr 2022] Biased expression in skin (RPKM 11.6), placenta (RPKM 1.2) and 1 other tissue",https://www.ncbi.nlm.nih.gov/gene/22798
 DCX,doublecortin,"This gene encodes a member of the doublecortin family. The protein encoded by this gene is a cytoplasmic protein and contains two doublecortin domains, which bind microtubules. In the developing cortex, cortical neurons must migrate over long distances to reach the site of their final differentiation. The encoded protein appears to direct neuronal migration by regulating the organization and stability of microtubules. In addition, the encoded protein interacts with LIS1, the regulatory gamma subunit of platelet activating factor acetylhydrolase, and this interaction is important to proper microtubule function in the developing cortex. Mutations in this gene cause abnormal migration of neurons during development and disrupt the layering of the cortex, leading to epilepsy, cognitive disability, subcortical band heterotopia (""double cortex"" syndrome) in females and lissencephaly (""smooth brain"" syndrome) in males. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Sep 2010]  Biased expression in brain (RPKM 4.3) and endometrium (RPKM 1.0)",https://www.ncbi.nlm.nih.gov/gene/1641
 SOX4,SRY-box transcription factor 4,"This intronless gene encodes a member of the SOX (SRY-related HMG-box) family of transcription factors involved in the regulation of embryonic development and in the determination of the cell fate. The encoded protein may act as a transcriptional regulator after forming a protein complex with other proteins, such as syndecan binding protein (syntenin). The protein may function in the apoptosis pathway leading to cell death as well as to tumorigenesis and may mediate downstream effects of parathyroid hormone (PTH) and PTH-related protein (PTHrP) in bone development. The solution structure has been resolved for the HMG-box of a similar mouse protein. [provided by RefSeq, Jul 2008] ",https://www.ncbi.nlm.nih.gov/gene/6659
 SDPR (AKA CAVIN2),caveolae associated protein 2,"This gene encodes a calcium-independent phospholipid-binding protein whose expression increases in serum-starved cells. This protein is a substrate for protein kinase C (PKC) phosphorylation and recruits polymerase I and transcript release factor (PTRF) to caveolae. Removal of this protein causes caveolae loss and its over-expression results in caveolae deformation and membrane tubulation.[provided by RefSeq, Sep 2009] Broad expression in fat (RPKM 116.9), lung (RPKM 67.0) and 17 other tissues",https://www.ncbi.nlm.nih.gov/gene/8436
 OLR1,oxidized low density lipoprotein receptor 1,"This gene encodes a low density lipoprotein receptor that belongs to the C-type lectin superfamily. This gene is regulated through the cyclic AMP signaling pathway. The encoded protein binds, internalizes and degrades oxidized low-density lipoprotein. This protein may be involved in the regulation of Fas-induced apoptosis. This protein may play a role as a scavenger receptor. Mutations of this gene have been associated with atherosclerosis, risk of myocardial infarction, and may modify the risk of Alzheimer's disease. Alternate splicing results in multiple transcript variants.[provided by RefSeq, Feb 2010] Biased expression in placenta (RPKM 50.3), lung (RPKM 32.5) and 5 other tissues",https://www.ncbi.nlm.nih.gov/gene/4973
 PEAR1,platelet endothelial aggregation receptor 1,"PEAR1 is a platelet receptor that signals upon the formation of platelet-platelet contacts independent of platelet activation and secondary to platelet aggregation (Nanda et al., 2005 [PubMed 15851471]).[supplied by OMIM, Mar 2008] Broad expression in fat (RPKM 9.8), placenta (RPKM 6.3) and 24 other tissues",https://www.ncbi.nlm.nih.gov/gene/375033
 SLA,Src like adaptor,"Predicted to enable signaling receptor binding activity. Predicted to be involved in cell differentiation; innate immune response; and transmembrane receptor protein tyrosine kinase signaling pathway. Predicted to be located in cytosol. Predicted to be active in dendritic spine and focal adhesion. Predicted to be extrinsic component of cytoplasmic side of plasma membrane. [provided by Alliance of Genome Resources, Apr 2022] Broad expression in appendix (RPKM 40.5), lymph node (RPKM 30.4) and 15 other tissues ",https://www.ncbi.nlm.nih.gov/gene/6503
 NRIP3,nuclear receptor interacting protein 3,"Predicted to enable aspartic-type endopeptidase activity. Predicted to be involved in proteolysis. [provided by Alliance of Genome Resources, Apr 2022] Biased expression in testis (RPKM 15.1), brain (RPKM 14.4) and 4 other tissues",https://www.ncbi.nlm.nih.gov/gene/56675
 ATP13A4,ATPase 13A4,"Predicted to enable ATPase-coupled cation transmembrane transporter activity. Predicted to be involved in cellular calcium ion homeostasis. Predicted to be located in endoplasmic reticulum membrane and endosome membrane. [provided by Alliance of Genome Resources, Apr 2022] Biased expression in thyroid (RPKM 10.9), lung (RPKM 10.1) and 6 other tissues",https://www.ncbi.nlm.nih.gov/gene/84239
 PLP1,proteolipid protein 1,"This gene encodes a transmembrane proteolipid protein that is the predominant component of myelin. The encoded protein may play a role in the compaction, stabilization, and maintenance of myelin sheaths, as well as in oligodendrocyte development and axonal survival. Mutations in this gene cause Pelizaeus-Merzbacher disease and spastic paraplegia type 2. Alternatively splicing results in multiple transcript variants, including the DM20 splice variant. [provided by RefSeq, Feb 2015]",https://www.ncbi.nlm.nih.gov/gene/5354
 AQP4,aquaporin 4,"This gene encodes a member of the aquaporin family of intrinsic membrane proteins that function as water-selective channels in the plasma membranes of many cells. This protein is the predominant aquaporin found in brain and has an important role in brain water homeostasis. Alternatively spliced transcript variants encoding different isoforms have been described for this gene. Additional isoforms, resulting from the use of alternative in-frame translation initiation codons, have also been described. Recent studies provided evidence for translational readthrough in this gene, and expression of C-terminally extended isoforms via the use of an alternative in-frame translation termination codon. [provided by RefSeq, Jun 2018]",https://www.ncbi.nlm.nih.gov/gene/361
 IL1B, interleukin 1 beta,"The protein encoded by this gene is a member of the interleukin 1 cytokine family. This cytokine is produced by activated macrophages as a proprotein, which is proteolytically processed to its active form by caspase 1 (CASP1/ICE). This cytokine is an important mediator of the inflammatory response, and is involved in a variety of cellular activities, including cell proliferation, differentiation, and apoptosis. The induction of cyclooxygenase-2 (PTGS2/COX2) by this cytokine in the central nervous system (CNS) is found to contribute to inflammatory pain hypersensitivity. Similarly, IL-1B has been implicated in human osteoarthritis pathogenesis. Patients with severe Coronavirus Disease 2019 (COVID-19) present elevated levels of pro-inflammatory cytokines such as IL-1B in bronchial alveolar lavage fluid samples. The lung damage induced by the Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is to a large extent, a result of the inflammatory response promoted by cytokines such as IL-1B. This gene and eight other interleukin 1 family genes form a cytokine gene cluster on chromosome 2. [provided by RefSeq, Jul 2020] Biased expression in bone marrow (RPKM 72.5), appendix (RPKM 32.9) and 12 other tissues",https://www.ncbi.nlm.nih.gov/gene/3553
CD24,CD24 molecule,"This gene encodes a sialoglycoprotein that is expressed on mature granulocytes and B cells and modulates growth and differentiation signals to these cells. The precursor protein is cleaved to a short 32 amino acid mature peptide which is anchored via a glycosyl phosphatidylinositol (GPI) link to the cell surface. This gene was missing from previous genome assemblies, but is properly located on chromosome 6. Non-transcribed pseudogenes have been designated on chromosomes 1, 15, 20, and Y. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Apr 2014] Biased expression in thyroid (RPKM 586.8), esophagus (RPKM 431.3) and 12 other tissues",https://www.ncbi.nlm.nih.gov/gene/100133941
ERMN,ermin,"Predicted to enable actin filament binding activity. Involved in actin filament organization; regulation of cell projection organization; and regulation of cell shape. Located in cell cortex; internode region of axon; and paranode region of axon. [provided by Alliance of Genome Resources, Apr 2022]",https://www.ncbi.nlm.nih.gov/gene/57471
UGT8, UDP glycosyltransferase 8,"The protein encoded by this gene belongs to the UDP-glycosyltransferase family. It catalyzes the transfer of galactose to ceramide, a key enzymatic step in the biosynthesis of galactocerebrosides, which are abundant sphingolipids of the myelin membrane of the central and peripheral nervous systems. Alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Sep 2011] Biased expression in brain (RPKM 15.7), colon (RPKM 5.2) and 10 other tissues",https://www.ncbi.nlm.nih.gov/gene/7368
MKI67,marker of proliferation Ki-67 ,"Enables protein C-terminus binding activity. Involved in regulation of chromosome segregation and regulation of mitotic nuclear division. Located in chromosome; nuclear body; and nucleolus. Colocalizes with condensed chromosome. Implicated in Crohn's disease; breast cancer; human immunodeficiency virus infectious disease; and pancreatic cancer. Biomarker of several diseases, including Barrett's esophagus; autoimmune disease of musculoskeletal system (multiple); endocrine gland cancer (multiple); gastrointestinal system cancer (multiple); and interstitial cystitis. [provided by Alliance of Genome Resources, Apr 2022]",https://www.ncbi.nlm.nih.gov/gene/4288
CD53,CD53 molecule,"The protein encoded by this gene is a member of the transmembrane 4 superfamily, also known as the tetraspanin family. Most of these members are cell-surface proteins that are characterized by the presence of four hydrophobic domains. The proteins mediate signal transduction events that play a role in the regulation of cell development, activation, growth and motility. This encoded protein is a cell surface glycoprotein that is known to complex with integrins. It contributes to the transduction of CD2-generated signals in T cells and natural killer cells and has been suggested to play a role in growth regulation. Familial deficiency of this gene has been linked to an immunodeficiency associated with recurrent infectious diseases caused by bacteria, fungi and viruses. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Mar 2016] Biased expression in lymph node (RPKM 181.8), appendix (RPKM 156.6) and 12 other tissues",https://www.ncbi.nlm.nih.gov/gene/963
KIAA0101 (AKA PLCAF),PCNA clamp associated factor,"Enables chromatin binding activity. Involved in several processes, including cellular macromolecule biosynthetic process; centrosome cycle; and response to UV. Located in centrosome; nucleus; and perinuclear region of cytoplasm. [provided by Alliance of Genome Resources, Apr 2022] ",https://www.ncbi.nlm.nih.gov/gene/9768
 CEBPD,CCAAT enhancer binding protein delta,"The protein encoded by this intronless gene is a bZIP transcription factor which can bind as a homodimer to certain DNA regulatory regions. It can also form heterodimers with the related protein CEBP-alpha. The encoded protein is important in the regulation of genes involved in immune and inflammatory responses, and may be involved in the regulation of genes associated with activation and/or differentiation of macrophages. The cytogenetic location of this locus has been reported as both 8p11 and 8q11. [provided by RefSeq, Sep 2010]",https://www.ncbi.nlm.nih.gov/gene/1052
TMSB15A,thymosin beta 15A,"Predicted to enable actin monomer binding activity. Involved in positive regulation of cell migration. Predicted to be located in cytoskeleton. Predicted to be active in cytoplasm. [provided by Alliance of Genome Resources, Apr 2022] Broad expression in prostate (RPKM 5.7), endometrium (RPKM 2.4) and 14 other tissues",https://www.ncbi.nlm.nih.gov/gene/11013
 SEMA3A, semaphorin 3A ,"This gene is a member of the semaphorin family and encodes a protein with an Ig-like C2-type (immunoglobulin-like) domain, a PSI domain and a Sema domain. This secreted protein can function as either a chemorepulsive agent, inhibiting axonal outgrowth, or as a chemoattractive agent, stimulating the growth of apical dendrites. In both cases, the protein is vital for normal neuronal pattern development. Increased expression of this protein is associated with schizophrenia and is seen in a variety of human tumor cell lines. Also, aberrant release of this protein is associated with the progression of Alzheimer's disease. [provided by RefSeq, Jul 2008] Broad expression in placenta (RPKM 2.5), gall bladder (RPKM 2.0) and 19 other tissues",https://www.ncbi.nlm.nih.gov/gene/10371
